Team,Driver,Country
"Mercedes AMG Petronas F1
Team",Lewis Hamilton,United Kingdom
"Mercedes AMG Petronas F1
Team",George Russell,United Kingdom
Red Bull Racing,Max Verstappen ,The Netherlands
Red Bull Racing,Sergio “Checo” Perez ,Mexico
Scuderia Ferrari Formula 1,Charles Leclerc ,Monaco
Scuderia Ferrari Formula 1,Carlos Sainz ,Spain
McLaren Racing,Lando Norris ,United Kingdom
McLaren Racing,Daniel Ricciardo ,Australia
Alpine F1 Team,Fernando Alonso ,Spain
Alpine F1 Team,Esteban Ocon ,France
Scuderia AlphaTauri,Pierre Gasly ,France
Scuderia AlphaTauri,Yuki Tsunoda ,Japan
"Aston Martin Aramco
Cognizant F1 Team",Sebastien Vettel ,Germany
"Aston Martin Aramco
Cognizant F1 Team",Lance Stroll ,Canada
Alfa Romeo F1 Team ORLEN,Valterri Bottas ,Finland
Alfa Romeo F1 Team ORLEN,Guanyu Zhou ,China
Williams Racing,Nicholas Latifi ,Canada
Williams Racing,Alex Albon ,Thailand
Haas F1 Team,Mick Schumacher ,Germany
Haas F1 Team,Kevin Magnussen ,Denmark
